"Model","battery_mah","ram","storage","lunch_year","used_month","battery_health","price"
"iPhone 12 Pro Max","3687","6","128","2020","60","100","70919"
"iPhone 6s","1715","2","16","2015","122","56","2531"
"iPhone 14 Pro","3200","6","128","2022","38","90","73461"
"iPhone 14 Plus","4325","6","128","2022","37","66","44250"
"iPhone 12 Pro","2815","6","128","2020","61","83","56948"
"iPhone XS Max","3174","4","64","2018","86","76","21485"
"iPhone 14 Pro","3200","6","128","2022","38","62","56503"
"iPhone 14","3279","6","128","2022","38","70","44601"
"iPhone 14","3279","6","128","2022","38","70","53308"
"iPhone 6 Plus","2915","1","16","2014","134","79","4105"
"iPhone X","2716","3","64","2017","96","73","4899"
"iPhone 12","2815","4","64","2020","61","80","32224"
"iPhone 14 Pro","3200","6","128","2022","38","81","66061"
"iPhone 16 Pro","3582","8","128","2024","14","55","60793"
"iPhone 8 Plus","2691","3","64","2017","98","69","4179"
"iPhone 16 Plus","4674","8","128","2024","14","70","72707"
"iPhone 8 Plus","2691","3","64","2017","98","78","11384"
"iPhone 14 Plus","4325","6","128","2022","37","81","59636"
"iPhone X","2716","3","64","2017","96","91","6547"
"iPhone 15","3349","6","128","2023","26","71","55790"
"iPhone 5c","1507","1","8","2013","146","90","3141"
"iPhone 11 Pro Max","3969","4","64","2019","74","59","18332"
"iPhone 16","3561","8","128","2024","14","76","73308"
"iPhone 13 mini","2438","4","128","2021","50","78","34461"
"iPhone XR","2942","3","64","2018","86","100","5099"
"iPhone 12 mini","2227","4","64","2020","60","94","40459"
"iPhone 6s","1715","2","16","2015","122","72","3243"
"iPhone 16 Pro","3582","8","128","2024","14","85","101951"
"iPhone 7","1960","2","32","2016","110","90","4162"
"iPhone 15 Pro Max","4422","8","256","2023","26","65","82780"
"iPhone 11 Pro Max","3969","4","64","2019","74","79","33990"
"iPhone 6s Plus","2750","2","16","2015","122","57","2793"
"iPhone 11 Pro","3046","4","64","2019","74","94","20080"
"iPhone 12","2815","4","64","2020","61","92","36541"
"iPhone 16 Plus","4674","8","128","2024","14","82","82540"
"iPhone 6s","1715","2","16","2015","122","71","3407"
"iPhone 14 Pro","3200","6","128","2022","38","98","93689"
"iPhone 6s","1715","2","16","2015","122","87","3755"
"iPhone 6 Plus","2915","1","16","2014","134","90","4810"
"iPhone 15","3349","6","128","2023","26","64","55086"
"iPhone 16 Plus","4674","8","128","2024","14","93","103526"
"iPhone 5s","1560","1","16","2013","146","55","2378"
"iPhone 8","1821","2","64","2017","98","73","3120"
"iPhone 7","1960","2","32","2016","110","95","4355"
"iPhone 6s","1715","2","16","2015","122","83","3822"
"iPhone 8","1821","2","64","2017","98","53","2667"
"iPhone 14","3279","6","128","2022","38","83","63308"
"iPhone 7","1960","2","32","2016","110","80","3283"
"iPhone 12 Pro","2815","6","128","2020","61","91","50221"
"iPhone 6 Plus","2915","1","16","2014","134","62","2828"
"iPhone 13 mini","2438","4","128","2021","50","94","41043"
"iPhone 7","1960","2","32","2016","110","83","4419"
"iPhone 8","1821","2","64","2017","98","72","3346"
"iPhone 13 Pro Max","4352","6","128","2021","50","81","70593"
"iPhone 7","1960","2","32","2016","110","88","4239"
"iPhone 12","2815","4","64","2020","61","90","33122"
"iPhone 16 Pro Max","4685","8","256","2024","14","80","116454"
"iPhone 12 mini","2227","4","64","2020","60","61","26647"
"iPhone 6","1810","1","16","2014","134","90","4033"
"iPhone XS Max","3174","4","64","2018","86","75","16283"
"iPhone 13 mini","2438","4","128","2021","50","97","39682"
"iPhone 13 mini","2438","4","128","2021","50","78","39000"
"iPhone 6 Plus","2915","1","16","2014","134","51","2309"
"iPhone 6","1810","1","16","2014","134","98","4444"
"iPhone 13 Pro Max","4352","6","128","2021","50","72","51043"
"iPhone 7 Plus","2900","3","32","2016","110","64","3151"
"iPhone 7 Plus","2900","3","32","2016","110","77","4227"
"iPhone 6 Plus","2915","1","16","2014","134","66","3210"
"iPhone XS Max","3174","4","64","2018","86","55","12733"
"iPhone 12 mini","2227","4","64","2020","60","84","34917"
"iPhone 7","1960","2","32","2016","110","86","3671"
"iPhone 11","3110","4","64","2019","74","59","9883"
"iPhone SE (1st gen)","1624","2","16","2016","116","89","2222"
"iPhone 6 Plus","2915","1","16","2014","134","64","3416"
"iPhone 15 Plus","4395","6","128","2023","26","68","60399"
"iPhone 11","3110","4","64","2019","74","89","18093"
"iPhone 15 Plus","4395","6","128","2023","26","51","46683"
"iPhone 13 mini","2438","4","128","2021","50","70","28926"
"iPhone 16","3561","8","128","2024","14","91","82667"
"iPhone XS Max","3174","4","64","2018","86","71","20964"
"iPhone 13 mini","2438","4","128","2021","50","56","30115"
"iPhone 15 Pro","3343","8","128","2023","26","100","110427"
"iPhone 11 Pro Max","3969","4","64","2019","74","89","47158"
"iPhone 13 mini","2438","4","128","2021","50","60","31529"
"iPhone 14 Pro","3200","6","128","2022","38","69","57455"
"iPhone 15 Pro Max","4422","8","256","2023","26","88","108807"
"iPhone XS","2658","4","64","2018","86","78","8401"
"iPhone 12 Pro","2815","6","128","2020","61","51","23130"
"iPhone 6s Plus","2750","2","16","2015","122","61","3510"
"iPhone 7 Plus","2900","3","32","2016","110","86","4600"
"iPhone 15 Pro","3343","8","128","2023","26","71","78326"
"iPhone 16 Pro","3582","8","128","2024","14","55","56913"
"iPhone 16 Plus","4674","8","128","2024","14","54","56651"
"iPhone 12","2815","4","64","2020","61","97","32772"
"iPhone 14 Plus","4325","6","128","2022","37","64","52220"
"iPhone 16 Pro","3582","8","128","2024","14","56","60929"
"iPhone SE (1st gen)","1624","2","16","2016","116","77","2146"
"iPhone 11","3110","4","64","2019","74","93","15167"
"iPhone 16 Pro Max","4685","8","256","2024","14","52","72099"
"iPhone XS Max","3174","4","64","2018","86","99","38272"
"iPhone 8 Plus","2691","3","64","2017","98","52","2916"
"iPhone XS Max","3174","4","64","2018","86","55","4118"
"iPhone 6","1810","1","16","2014","134","92","4520"
"iPhone 13 mini","2438","4","128","2021","50","85","48981"
"iPhone 6 Plus","2915","1","16","2014","134","52","2484"
"iPhone 7","1960","2","32","2016","110","55","2376"
"iPhone 14 Pro","3200","6","128","2022","38","53","49128"
"iPhone 15","3349","6","128","2023","26","52","42320"
"iPhone 8 Plus","2691","3","64","2017","98","64","9574"
"iPhone XS Max","3174","4","64","2018","86","83","6204"
"iPhone 6s","1715","2","16","2015","122","64","2911"
"iPhone 15 Pro","3343","8","128","2023","26","63","61499"
"iPhone 13","3227","4","128","2021","50","90","47353"
"iPhone 16 Plus","4674","8","128","2024","14","76","77911"
"iPhone XS","2658","4","64","2018","86","52","15586"
"iPhone 14 Pro Max","4323","6","128","2022","38","77","71245"
"iPhone 6s Plus","2750","2","16","2015","122","63","3268"
"iPhone 6","1810","1","16","2014","134","89","4446"
"iPhone 13","3227","4","128","2021","50","68","32361"
"iPhone 16 Pro","3582","8","128","2024","14","66","81656"
"iPhone 12 Pro Max","3687","6","128","2020","60","98","54563"
"iPhone 15","3349","6","128","2023","26","78","59210"
"iPhone 16 Pro Max","4685","8","256","2024","14","61","94893"
"iPhone X","2716","3","64","2017","96","91","18298"
"iPhone 12","2815","4","64","2020","61","53","18384"
"iPhone SE (1st gen)","1624","2","16","2016","116","93","2578"
"iPhone 13 Pro","3095","6","128","2021","50","80","60973"
"iPhone 14","3279","6","128","2022","38","90","58895"
"iPhone 16","3561","8","128","2024","14","85","78810"
"iPhone 16 Pro","3582","8","128","2024","14","91","100947"
"iPhone 8 Plus","2691","3","64","2017","98","87","4892"
"iPhone 16 Plus","4674","8","128","2024","14","52","58259"
"iPhone XS","2658","4","64","2018","86","82","14831"
"iPhone 6 Plus","2915","1","16","2014","134","62","3562"
"iPhone 6s","1715","2","16","2015","122","92","4031"
"iPhone 5","1440","1","16","2012","158","64","2640"
"iPhone 6s Plus","2750","2","16","2015","122","86","4156"
"iPhone 8","1821","2","64","2017","98","95","5470"
"iPhone 6s Plus","2750","2","16","2015","122","92","5055"
"iPhone XS","2658","4","64","2018","86","59","3680"
"iPhone 12","2815","4","64","2020","61","64","29732"
"iPhone 8","1821","2","64","2017","98","87","3911"
"iPhone 16 Pro Max","4685","8","256","2024","14","100","143602"
"iPhone 8","1821","2","64","2017","98","81","12405"
"iPhone X","2716","3","64","2017","96","71","4902"
"iPhone 11 Pro Max","3969","4","64","2019","74","65","27074"
"iPhone 15","3349","6","128","2023","26","58","45057"
"iPhone 16 Pro Max","4685","8","256","2024","14","74","104147"
"iPhone 6s","1715","2","16","2015","122","74","3136"
"iPhone 11","3110","4","64","2019","74","55","18905"
"iPhone 13 mini","2438","4","128","2021","50","60","26578"
"iPhone 11 Pro","3046","4","64","2019","74","79","20423"
"iPhone 12 Pro Max","3687","6","128","2020","60","91","45104"
"iPhone 6","1810","1","16","2014","134","92","4272"
"iPhone 14 Pro Max","4323","6","128","2022","38","79","73183"
"iPhone 5s","1560","1","16","2013","146","76","3597"
"iPhone 7 Plus","2900","3","32","2016","110","56","3280"
"iPhone XR","2942","3","64","2018","86","91","15618"
"iPhone 14","3279","6","128","2022","38","61","46121"
"iPhone 12","2815","4","64","2020","61","96","51471"
"iPhone 13 Pro","3095","6","128","2021","50","78","58672"
"iPhone 5","1440","1","16","2012","158","90","3986"
"iPhone 13 Pro Max","4352","6","128","2021","50","58","45723"
"iPhone 6s Plus","2750","2","16","2015","122","97","4817"
"iPhone 15 Pro Max","4422","8","256","2023","26","94","125732"
"iPhone 16 Plus","4674","8","128","2024","14","81","77466"
"iPhone 16 Pro Max","4685","8","256","2024","14","84","125679"
"iPhone XS Max","3174","4","64","2018","86","53","16017"
"iPhone 12 Pro","2815","6","128","2020","61","91","53046"
"iPhone 6s Plus","2750","2","16","2015","122","99","5119"
"iPhone 12","2815","4","64","2020","61","64","23678"
"iPhone XR","2942","3","64","2018","86","96","14115"
"iPhone 13 mini","2438","4","128","2021","50","92","47347"
"iPhone 15 Plus","4395","6","128","2023","26","71","66712"
"iPhone 8 Plus","2691","3","64","2017","98","60","3257"
"iPhone 14 Pro","3200","6","128","2022","38","53","45746"
"iPhone 14 Pro","3200","6","128","2022","38","76","64799"
"iPhone 13 mini","2438","4","128","2021","50","75","29971"
"iPhone 16","3561","8","128","2024","14","68","62511"
"iPhone 6s","1715","2","16","2015","122","65","2866"
"iPhone XR","2942","3","64","2018","86","93","8343"
"iPhone 13 Pro Max","4352","6","128","2021","50","76","51667"
"iPhone 14 Pro Max","4323","6","128","2022","38","96","82137"
"iPhone 11","3110","4","64","2019","74","81","17380"
"iPhone 11 Pro","3046","4","64","2019","74","72","27576"
"iPhone 14 Pro","3200","6","128","2022","38","66","54909"
"iPhone 5","1440","1","16","2012","158","76","3364"
"iPhone 16 Pro Max","4685","8","256","2024","14","81","106049"
"iPhone 11 Pro","3046","4","64","2019","74","82","38633"
"iPhone 12 mini","2227","4","64","2020","60","60","24020"
"iPhone 16 Pro Max","4685","8","256","2024","14","71","91922"
"iPhone 15","3349","6","128","2023","26","100","78421"
"iPhone 5s","1560","1","16","2013","146","80","3631"
"iPhone XS","2658","4","64","2018","86","85","18518"
"iPhone 12 Pro Max","3687","6","128","2020","60","76","41617"
"iPhone 8 Plus","2691","3","64","2017","98","65","3670"
"iPhone 16","3561","8","128","2024","14","89","77485"
"iPhone 6s","1715","2","16","2015","122","62","2610"
"iPhone 12 Pro","2815","6","128","2020","61","69","35459"
"iPhone 6","1810","1","16","2014","134","94","3913"
"iPhone X","2716","3","64","2017","96","75","8047"
"iPhone 6","1810","1","16","2014","134","94","3912"
"iPhone 16 Plus","4674","8","128","2024","14","95","114220"
"iPhone 8 Plus","2691","3","64","2017","98","89","4624"
"iPhone 6","1810","1","16","2014","134","51","2069"
"iPhone 8","1821","2","64","2017","98","75","11608"
"iPhone 14","3279","6","128","2022","38","71","47645"
"iPhone X","2716","3","64","2017","96","87","6489"
"iPhone 15 Pro","3343","8","128","2023","26","60","58285"
"iPhone 12 Pro Max","3687","6","128","2020","60","66","36710"
"iPhone 6 Plus","2915","1","16","2014","134","92","4760"
"iPhone 16 Pro Max","4685","8","256","2024","14","77","99940"
"iPhone 15","3349","6","128","2023","26","68","53992"
"iPhone 13 Pro","3095","6","128","2021","50","51","27164"
"iPhone 5c","1507","1","8","2013","146","80","2962"
"iPhone 5s","1560","1","16","2013","146","69","3178"
"iPhone 16 Pro Max","4685","8","256","2024","14","100","131702"
"iPhone SE (1st gen)","1624","2","16","2016","116","71","1909"
"iPhone 7 Plus","2900","3","32","2016","110","61","5117"
"iPhone 6s Plus","2750","2","16","2015","122","84","3930"
"iPhone 6s Plus","2750","2","16","2015","122","76","4123"
"iPhone 15","3349","6","128","2023","26","60","48593"
"iPhone X","2716","3","64","2017","96","68","13848"
"iPhone XR","2942","3","64","2018","86","85","17272"
"iPhone 6s","1715","2","16","2015","122","96","4160"
"iPhone 6s","1715","2","16","2015","122","89","4032"
"iPhone XS","2658","4","64","2018","86","73","20246"
"iPhone 8 Plus","2691","3","64","2017","98","94","7225"
"iPhone 14","3279","6","128","2022","38","87","49704"
"iPhone 7","1960","2","32","2016","110","84","3543"
"iPhone 11 Pro","3046","4","64","2019","74","94","21329"
"iPhone 13 Pro","3095","6","128","2021","50","70","43798"
"iPhone 14 Pro Max","4323","6","128","2022","38","90","75498"
"iPhone 6","1810","1","16","2014","134","100","4890"
"iPhone 14 Pro Max","4323","6","128","2022","38","91","89879"
"iPhone 12 Pro Max","3687","6","128","2020","60","81","42515"
"iPhone 7","1960","2","32","2016","110","75","3275"
"iPhone 6 Plus","2915","1","16","2014","134","64","3274"
"iPhone 16 Plus","4674","8","128","2024","14","87","91858"
"iPhone 15 Pro","3343","8","128","2023","26","77","85051"
"iPhone XS Max","3174","4","64","2018","86","75","10666"
"iPhone 16","3561","8","128","2024","14","95","99326"
"iPhone 15 Plus","4395","6","128","2023","26","93","78252"
"iPhone 15","3349","6","128","2023","26","66","54098"
"iPhone 16","3561","8","128","2024","14","83","77440"
"iPhone 16 Plus","4674","8","128","2024","14","73","75297"
"iPhone 15","3349","6","128","2023","26","88","62958"
"iPhone 16","3561","8","128","2024","14","50","45729"
"iPhone 12 mini","2227","4","64","2020","60","95","33505"
"iPhone 12 Pro","2815","6","128","2020","61","69","39497"
"iPhone 16","3561","8","128","2024","14","89","81612"
"iPhone 14 Plus","4325","6","128","2022","37","56","45833"
"iPhone 11 Pro Max","3969","4","64","2019","74","78","43774"
"iPhone 15","3349","6","128","2023","26","57","43294"
"iPhone X","2716","3","64","2017","96","60","6312"
"iPhone X","2716","3","64","2017","96","86","8099"
"iPhone 16 Pro","3582","8","128","2024","14","57","70380"
"iPhone 15 Plus","4395","6","128","2023","26","57","47943"
"iPhone 14","3279","6","128","2022","38","92","66587"
"iPhone 8 Plus","2691","3","64","2017","98","85","4197"
"iPhone 16 Pro Max","4685","8","256","2024","14","81","107900"
"iPhone 16 Pro Max","4685","8","256","2024","14","96","151935"
"iPhone 11 Pro Max","3969","4","64","2019","74","73","30605"
"iPhone 15 Plus","4395","6","128","2023","26","65","60082"
"iPhone 16","3561","8","128","2024","14","82","71592"
"iPhone 12 Pro Max","3687","6","128","2020","60","97","53699"
"iPhone 8 Plus","2691","3","64","2017","98","76","6174"
"iPhone 12 Pro Max","3687","6","128","2020","60","79","38342"
"iPhone 15 Pro Max","4422","8","256","2023","26","65","78771"
"iPhone 5c","1507","1","8","2013","146","69","2385"
"iPhone 8","1821","2","64","2017","98","100","12222"
"iPhone 11 Pro Max","3969","4","64","2019","74","61","26766"
"iPhone 16","3561","8","128","2024","14","94","86300"
"iPhone 11 Pro Max","3969","4","64","2019","74","85","34648"
"iPhone 12","2815","4","64","2020","61","99","33340"
"iPhone 14 Plus","4325","6","128","2022","37","92","73154"
"iPhone 16 Pro","3582","8","128","2024","14","78","97725"
"iPhone 11 Pro Max","3969","4","64","2019","74","73","45129"
"iPhone 15 Plus","4395","6","128","2023","26","56","48029"
"iPhone 8","1821","2","64","2017","98","80","5784"
"iPhone 7 Plus","2900","3","32","2016","110","52","3004"
"iPhone 12 mini","2227","4","64","2020","60","75","32331"
"iPhone 12","2815","4","64","2020","61","77","35518"
"iPhone 8","1821","2","64","2017","98","71","9995"
"iPhone XR","2942","3","64","2018","86","84","17987"
"iPhone 15 Pro","3343","8","128","2023","26","74","74934"
"iPhone SE (1st gen)","1624","2","16","2016","116","84","2316"
"iPhone XS Max","3174","4","64","2018","86","98","30834"
"iPhone SE (1st gen)","1624","2","16","2016","116","70","2035"
"iPhone 13 mini","2438","4","128","2021","50","76","35374"
"iPhone X","2716","3","64","2017","96","66","15783"
"iPhone 15 Pro Max","4422","8","256","2023","26","77","100120"
"iPhone XR","2942","3","64","2018","86","94","24251"
"iPhone 14","3279","6","128","2022","38","83","52689"
"iPhone 14 Pro","3200","6","128","2022","38","86","71562"
"iPhone 11","3110","4","64","2019","74","78","23745"
"iPhone 13","3227","4","128","2021","50","73","41126"
"iPhone SE (1st gen)","1624","2","16","2016","116","77","2224"
"iPhone 16 Pro","3582","8","128","2024","14","53","64654"
"iPhone 11 Pro Max","3969","4","64","2019","74","90","49785"
"iPhone 14 Plus","4325","6","128","2022","37","70","57483"
"iPhone XS","2658","4","64","2018","86","57","4249"
"iPhone 7 Plus","2900","3","32","2016","110","65","3786"
"iPhone 13 mini","2438","4","128","2021","50","98","36735"
"iPhone 5s","1560","1","16","2013","146","51","2430"
"iPhone 12 mini","2227","4","64","2020","60","61","20209"
"iPhone 15 Plus","4395","6","128","2023","26","58","47769"
"iPhone SE (1st gen)","1624","2","16","2016","116","60","1768"
"iPhone 16","3561","8","128","2024","14","74","65368"
"iPhone 6s Plus","2750","2","16","2015","122","60","3040"
"iPhone XS Max","3174","4","64","2018","86","55","4087"
"iPhone 14 Plus","4325","6","128","2022","37","67","47810"
"iPhone 16 Plus","4674","8","128","2024","14","69","65675"
"iPhone XS Max","3174","4","64","2018","86","90","13295"
"iPhone 13 mini","2438","4","128","2021","50","57","24279"
"iPhone 12 Pro Max","3687","6","128","2020","60","89","65466"
"iPhone 6s","1715","2","16","2015","122","93","4297"
"iPhone 11","3110","4","64","2019","74","87","18305"
"iPhone 15 Plus","4395","6","128","2023","26","82","79758"
"iPhone XR","2942","3","64","2018","86","96","13622"
"iPhone 14 Pro Max","4323","6","128","2022","38","83","80917"
"iPhone 16 Pro","3582","8","128","2024","14","87","100438"
"iPhone 13 Pro","3095","6","128","2021","50","69","51760"
"iPhone 8","1821","2","64","2017","98","88","10752"
"iPhone 16 Plus","4674","8","128","2024","14","83","91315"
"iPhone 12 Pro Max","3687","6","128","2020","60","52","35269"
"iPhone XS","2658","4","64","2018","86","53","3387"
"iPhone 14 Pro Max","4323","6","128","2022","38","96","104814"
"iPhone 6s Plus","2750","2","16","2015","122","86","4633"
"iPhone 11","3110","4","64","2019","74","79","21745"
"iPhone 16 Pro","3582","8","128","2024","14","83","99171"
"iPhone XS","2658","4","64","2018","86","76","5112"
"iPhone 14 Pro Max","4323","6","128","2022","38","95","76402"
"iPhone XS","2658","4","64","2018","86","54","15887"
"iPhone 13 mini","2438","4","128","2021","50","81","37184"
"iPhone 12 Pro","2815","6","128","2020","61","86","44307"
"iPhone 8","1821","2","64","2017","98","83","7679"
"iPhone 16 Pro","3582","8","128","2024","14","59","72165"
"iPhone 6","1810","1","16","2014","134","59","2680"
"iPhone 16 Plus","4674","8","128","2024","14","82","94146"
"iPhone 6s","1715","2","16","2015","122","61","2736"
"iPhone XS","2658","4","64","2018","86","92","7405"
"iPhone 8 Plus","2691","3","64","2017","98","82","11828"
"iPhone 14 Pro","3200","6","128","2022","38","80","62478"
"iPhone 5c","1507","1","8","2013","146","61","2327"
"iPhone 7 Plus","2900","3","32","2016","110","81","4161"
"iPhone 15 Pro Max","4422","8","256","2023","26","76","82883"
"iPhone 16 Pro Max","4685","8","256","2024","14","77","103662"
"iPhone 14","3279","6","128","2022","38","77","56147"
"iPhone XS","2658","4","64","2018","86","97","8210"
"iPhone 16 Plus","4674","8","128","2024","14","55","53700"
"iPhone 6s","1715","2","16","2015","122","65","2834"
"iPhone 5","1440","1","16","2012","158","79","3457"
"iPhone 12","2815","4","64","2020","61","71","30408"
"iPhone 11","3110","4","64","2019","74","93","24983"
"iPhone 13 Pro","3095","6","128","2021","50","88","53844"
"iPhone 13 mini","2438","4","128","2021","50","78","31727"
"iPhone 13 Pro","3095","6","128","2021","50","87","60944"
"iPhone 14 Plus","4325","6","128","2022","37","90","78681"
"iPhone 12 Pro","2815","6","128","2020","61","90","40944"
"iPhone 13","3227","4","128","2021","50","99","54714"
"iPhone 16 Pro Max","4685","8","256","2024","14","72","91804"
"iPhone 5s","1560","1","16","2013","146","87","4127"
"iPhone 11 Pro Max","3969","4","64","2019","74","86","20646"
"iPhone 15","3349","6","128","2023","26","72","58209"
"iPhone 11 Pro Max","3969","4","64","2019","74","60","24714"
"iPhone 8","1821","2","64","2017","98","84","4262"
"iPhone 6s","1715","2","16","2015","122","100","4512"
"iPhone 16 Pro","3582","8","128","2024","14","60","70847"
"iPhone 16","3561","8","128","2024","14","65","59933"
"iPhone 11 Pro","3046","4","64","2019","74","62","23613"
"iPhone 5","1440","1","16","2012","158","64","2596"
"iPhone 11 Pro Max","3969","4","64","2019","74","67","23959"
"iPhone 15 Pro Max","4422","8","256","2023","26","91","117135"
"iPhone 16 Plus","4674","8","128","2024","14","75","80747"
"iPhone 14 Pro","3200","6","128","2022","38","95","80961"
"iPhone 13","3227","4","128","2021","50","82","42576"
"iPhone 12","2815","4","64","2020","61","71","30161"
"iPhone 11","3110","4","64","2019","74","63","13103"
"iPhone 6 Plus","2915","1","16","2014","134","78","3687"
"iPhone 16 Plus","4674","8","128","2024","14","64","74695"
"iPhone 15","3349","6","128","2023","26","87","68019"
"iPhone XS","2658","4","64","2018","86","61","8068"
"iPhone 6s Plus","2750","2","16","2015","122","56","2748"
"iPhone 5","1440","1","16","2012","158","89","3942"
"iPhone 12","2815","4","64","2020","61","75","28255"
"iPhone 15","3349","6","128","2023","26","60","48566"
"iPhone 16 Plus","4674","8","128","2024","14","57","64627"
"iPhone 5s","1560","1","16","2013","146","76","3140"
"iPhone SE (1st gen)","1624","2","16","2016","116","85","2138"
"iPhone XR","2942","3","64","2018","86","69","12900"
"iPhone 8 Plus","2691","3","64","2017","98","78","4205"
"iPhone 13 mini","2438","4","128","2021","50","60","30135"
"iPhone 13 mini","2438","4","128","2021","50","93","45274"
"iPhone 16 Plus","4674","8","128","2024","14","85","96036"
"iPhone 16","3561","8","128","2024","14","72","73054"
"iPhone 7 Plus","2900","3","32","2016","110","74","3468"
"iPhone 15 Pro","3343","8","128","2023","26","77","73463"
"iPhone 16 Plus","4674","8","128","2024","14","53","51772"
"iPhone 11","3110","4","64","2019","74","74","19073"
"iPhone 13 mini","2438","4","128","2021","50","68","28749"
"iPhone 13 Pro Max","4352","6","128","2021","50","57","35493"
"iPhone 16 Plus","4674","8","128","2024","14","83","82823"
"iPhone 12","2815","4","64","2020","61","84","33335"
"iPhone 13","3227","4","128","2021","50","81","39627"
"iPhone 12 Pro","2815","6","128","2020","61","72","43100"
"iPhone 6s","1715","2","16","2015","122","59","2431"
"iPhone 11 Pro","3046","4","64","2019","74","81","18734"
"iPhone 13 mini","2438","4","128","2021","50","88","40519"
"iPhone 5c","1507","1","8","2013","146","57","2144"
"iPhone 6s","1715","2","16","2015","122","61","2856"
"iPhone 14 Pro Max","4323","6","128","2022","38","78","73188"
"iPhone 6s","1715","2","16","2015","122","56","2667"
"iPhone 13","3227","4","128","2021","50","66","38255"
"iPhone 7","1960","2","32","2016","110","77","4522"
"iPhone 12","2815","4","64","2020","61","94","34349"
"iPhone 16","3561","8","128","2024","14","73","67274"
"iPhone 16 Pro Max","4685","8","256","2024","14","73","102765"
"iPhone 15 Pro Max","4422","8","256","2023","26","66","82023"
"iPhone 14 Plus","4325","6","128","2022","37","66","49632"
"iPhone 15 Pro","3343","8","128","2023","26","91","97059"
"iPhone 5","1440","1","16","2012","158","85","3642"
"iPhone 14","3279","6","128","2022","38","90","58572"
"iPhone X","2716","3","64","2017","96","71","6798"
"iPhone 13","3227","4","128","2021","50","92","56605"
"iPhone 15 Pro","3343","8","128","2023","26","89","92958"
"iPhone 11 Pro Max","3969","4","64","2019","74","83","37601"
"iPhone 6 Plus","2915","1","16","2014","134","60","3029"
"iPhone 11 Pro","3046","4","64","2019","74","85","33534"
"iPhone 15 Pro Max","4422","8","256","2023","26","52","63188"
"iPhone 14 Plus","4325","6","128","2022","37","87","69727"
"iPhone 12 Pro","2815","6","128","2020","61","71","38465"
"iPhone 5s","1560","1","16","2013","146","67","2860"
"iPhone 13 Pro","3095","6","128","2021","50","54","42664"
"iPhone 13","3227","4","128","2021","50","92","42084"
"iPhone 14 Plus","4325","6","128","2022","37","63","56267"
"iPhone 6s Plus","2750","2","16","2015","122","77","4244"
"iPhone 12 mini","2227","4","64","2020","60","97","32997"
"iPhone 16","3561","8","128","2024","14","76","66009"
"iPhone 6","1810","1","16","2014","134","94","4116"
"iPhone 12","2815","4","64","2020","61","51","21112"
"iPhone XS Max","3174","4","64","2018","86","51","4253"
"iPhone 16 Pro Max","4685","8","256","2024","14","58","85377"
"iPhone 12 Pro","2815","6","128","2020","61","97","47357"
"iPhone 7 Plus","2900","3","32","2016","110","86","4444"
"iPhone 16","3561","8","128","2024","14","90","84557"
"iPhone X","2716","3","64","2017","96","52","3325"
"iPhone 5s","1560","1","16","2013","146","75","3396"
"iPhone X","2716","3","64","2017","96","79","10408"
"iPhone 16 Pro Max","4685","8","256","2024","14","96","131969"
"iPhone 11 Pro Max","3969","4","64","2019","74","91","39101"
"iPhone 15 Plus","4395","6","128","2023","26","69","68071"
"iPhone XS Max","3174","4","64","2018","86","66","4992"
"iPhone X","2716","3","64","2017","96","77","5327"
"iPhone 12","2815","4","64","2020","61","71","36747"
"iPhone 5s","1560","1","16","2013","146","92","3743"
"iPhone 15","3349","6","128","2023","26","60","44407"
"iPhone 15","3349","6","128","2023","26","77","63818"
"iPhone 16 Pro Max","4685","8","256","2024","14","86","115505"
"iPhone 6s","1715","2","16","2015","122","74","3454"
"iPhone 13 Pro Max","4352","6","128","2021","50","92","83043"
"iPhone 15 Pro","3343","8","128","2023","26","52","55198"
"iPhone 15 Pro","3343","8","128","2023","26","55","54129"
"iPhone 15 Pro","3343","8","128","2023","26","83","81114"
"iPhone 16","3561","8","128","2024","14","71","62092"
"iPhone 14 Pro","3200","6","128","2022","38","86","81339"
"iPhone 16","3561","8","128","2024","14","71","71550"
"iPhone 14 Plus","4325","6","128","2022","37","97","84033"
"iPhone 13 mini","2438","4","128","2021","50","71","29825"
"iPhone XS Max","3174","4","64","2018","86","79","7831"
"iPhone 11","3110","4","64","2019","74","68","8766"
"iPhone 5s","1560","1","16","2013","146","100","4821"
"iPhone 12 mini","2227","4","64","2020","60","51","22573"
"iPhone 11 Pro","3046","4","64","2019","74","96","32416"
"iPhone 6s Plus","2750","2","16","2015","122","52","2574"
"iPhone 16 Pro","3582","8","128","2024","14","63","73466"
"iPhone 16 Plus","4674","8","128","2024","14","96","108129"
"iPhone 8 Plus","2691","3","64","2017","98","75","4483"
"iPhone 6s Plus","2750","2","16","2015","122","80","4069"
"iPhone 6s","1715","2","16","2015","122","89","4406"
"iPhone 14","3279","6","128","2022","38","71","44342"
"iPhone 16 Pro Max","4685","8","256","2024","14","97","127857"
"iPhone 15 Pro","3343","8","128","2023","26","53","55391"
"iPhone XS","2658","4","64","2018","86","58","4342"
"iPhone 16 Pro Max","4685","8","256","2024","14","79","112026"
"iPhone 7 Plus","2900","3","32","2016","110","57","2650"
"iPhone 13 Pro","3095","6","128","2021","50","64","45174"
"iPhone 7","1960","2","32","2016","110","74","3229"
